length tN tNlogN
100000 8208 32070
300000 13124 113306
500000 36141 189697
700000 16129 295464
900000 23206 333190
1100000 27911 503869
1300000 30605 475647
1500000 37042 660863
1700000 49244 678169
1900000 51470 799823
2100000 54373 884732
2300000 70874 976498
2500000 65546 984479
2700000 202500 1163894
2900000 88273 1160772
3100000 77890 1364781
3300000 105046 1346628
3500000 89090 1465539
3700000 89172 1645318
3900000 112837 1641352
4100000 98520 1581869
4300000 127012 1627026
4500000 108373 1825527
4700000 148987 1905306
4900000 121112 1880361
5100000 145109 1961429
5300000 161178 2046127
5500000 135263 2160562
5700000 363042 2275145
5900000 148690 2410968
6100000 159836 2462219
6300000 159039 2570194
6500000 158590 2652601
6700000 162725 2709879
6900000 172041 2821304
7100000 196549 2732282
7300000 179027 2930367
7500000 185101 3007785
7700000 351213 3038282
7900000 191873 3246963
8100000 199544 3328116
8300000 201390 3336232
8500000 204244 3356997
8700000 408261 3360804
8900000 217933 3614015
9100000 222656 3682523
9300000 223978 3777700
9500000 232971 3824255
9700000 447233 3977995
9900000 299300 4191101
